target_id	wt_sc_1	wt_sc_2	wt_sc_3	st_sc_1	st_sc_2	st_sc_3	wt_sl_1	wt_sl_2	wt_sl_3	st_sl_1	st_sl_2	st_sl_3
YHR055C	0	0	0	0	0	0	0	0	354.525	0	0	198
YPR161C	1061	1375	1321	1189	1285	1334	1158	1409	1070	1300	1379	1444
YOL138C	552	694	694	589	616.072	671	1581	1871	1411	1665.4	1619.2	1951
YDR395W	2691	3331	3741	3310	3281	3473	1403	1649	1297	1471	1651	1975
YGR129W	352	513	350	444	418	319	339	388	266	381	334	424
YPR165W	2862	3900	3101	3749	3763	3274	3377	3899	2926	3797	3533	3825
YPR098C	305	539	430	474	530	464	1429	1720	1224	1635	1674	1859
YPL015C	725	977	970	1035	950	1083	1390	1666	1313	1460	1820	1667
YCL050C	2210	2652	2444	2690	2703	2624	2568	2923	2347	2419	2958	3005
YAL069W	1	1	2	1.49957	1	0	3	0	4.90347	3	2	0
YMR193W	362	479	419	433	481	467	455	535	473	458	562	662
YLR031W	111	139	144	131	143	125	384	443	350	489	468	519
YIL014C-A	51	83	67	60	72	88	175	173	172	167	164	207
YGR053C	75	103	50	96	81	67	437	533	352	489	460	564
YCR101C	28	73	46	59	72	56	84	110	89	111	95	109
YER087C-B	393	602	319	519	465	382	256	225	249	290	258	386
YOR280C	304	454	459	483	424	438	436	571	413	521	623	739
YGR097W	1015	1203	1095	1242	1264	1208	2814	3149	3080	2746	3372	3648
YHR215W	275.451	389.939	298.035	444.858	464.873	416.532	380.1	488.165	284.028	436.641	438.241	496.793
YKL025C	747	869	985	946	844	1039	1394	1582	1599	1339	1774	2042
YKR011C	503	675	407	591	637	472	1136	1290	937	1012	1153	1038
YEL004W	230	347	366	319	324	287	402	385	334	342	442	488
YJL200C	9094	11720	12609	12591	12111	13002	2367	2929	1957	2680	2375	3090
YLL027W	806	1110	932	1112	1337	970	2475	3148	2166	2672	2515	2923
YOR024W	1	2	0	2	0	0	1	1	2	3	4	4
YLR045C	1252	1527	1314	1647	1596	1478	484	504	399	723	577	617
YDR348C	1593	2142	1599	2076	2094	1723	1349	1463	1012	1485	1249	1378
YPL183C	1575	2025	2551	2147	2051	2297	858	959	797	901	975	1046
YGR003W	518	737	790	786	756	802	1135	1225	993	1177	1194	1378
YEL008C-A	0	0	0	0	0	0	0	0	0	0	0	0
YBL095W	292.014	377.944	332.918	361.131	427.395	310.909	1159.21	1409.17	762.188	1227.93	1230.81	1232.43
YGL060W	459	556	522	499	550	533	655	666	564	627	682	781
YLL007C	312	464	384	396	448	379	395	522	377	469	465	528
YEL009C	13465	15320	16078	17127	17305	16281	14678	16887	11048	17489	15716	17224
YEL015W	1984	2886	2571	2551	2822	2763	1432	1679	1281	1485	1556	1888
YOR083W	247	323	194	292	340	233	241	227	184	240	214	225
YBR252W	656	1047	960	910	982	833	363	365	257	410	335	416
YDR329C	1016	1277	1040	1184	1194	1149	2102	2391	1859	2134	2260	2497
YDL202W	620	866	697	811	839	799	334	460	339	378	449	403
YHR209W	246	382	283	373	345	365	986	1186	856	1046	1184	1236
YPR008W	1397	1649	1414	1649	1505	1410	3637	4113	3385	3964	3811	4680
YER075C	589	750	762	791	746	886	1437	1560	1471	1487	1688	1992
YDL203C	653	884	718	845	872	831	885	1059	765	871	894	1004
YBR050C	50	52.5569	45	45	47	44	110	157	118.11	92	133	135.489
YMR197C	539	816	504	745	744	547	1285	1466	1050	1328	1307	1565
YDR261W-A	227.316	288.156	252.906	351.326	407.567	225.457	153.798	222.006	248.95	433.16	229.277	63.1863
YBL049W	73	129	102	104	121	103	3694	4163	3277	3675	3656	4382
YER054C	113	157	138	126	143	112	1233	1433	1327	1158	1419	2004
YDR305C	412	567	366	481	570	413	610	710	455	586	611	578
YHL019W-A	141.492	155.35	142.223	141.247	205.97	119.742	176.039	301.053	206.923	265.855	281.399	273.023
YNL201C	866	1056	1144	799	756	858	1100	1217	1052	1035	1062	1349
YHR180W-A	0	0	0	0	0	0	0	0	0	0	0	1
YCR061W	376	456	351	488	550	461	1863	2405	1763	2114	2527	2369
YBR206W	187.16	250.009	251.882	190.58	261.234	233.335	117.452	144.819	106.169	156.541	128.436	145.006
YPL171C	107	141	54	83	85	101	5861	6655	4215	4280	6172	5080
YHR051W	979	1288	923	1238	1223	983	1469	1560	1219	1742	1474	1565
YDL116W	1296	1656	1576	1722	1562	1527	786	991	775	973	900	1021
YPR124W	288.603	475.804	410.898	463.943	543.183	422.869	345.752	455.562	286.761	427.749	398.146	516.711
YJL023C	392.26	480.582	474.421	528.262	522	476.658	825.485	1009.88	679.586	894.057	951.871	964.717
YGL167C	1780	2105	2656	2514	2334	2793	2539	2826	2388	2590	3021	3438
YDL165W	670	865	716	753	860	776	848	1008	646	990	979	895
YLR154C-H	0	0	0	0	0	0	0	0	0	0	0	0
YPL119C-A	2	9	6	9	3	7	42	44	103	34	48	85
YIL143C	1452	1751	1671	1824	1901	1702	3732	4307	3358	3462	4168	4844
